class_name,refactoring_count,refactoring_types
FilterDelegateImpl,39,"['Extract Variable', 'Inline Variable', 'Extract Method', 'Extract And Move Method', 'Parameterize Variable']"
EntityImportExport,35,"['Extract Method', 'Extract Variable', 'Parameterize Variable', 'Inline Variable', 'Extract And Move Method', 'Invert Condition', 'Merge Variable']"
WebFieldGroup,29,"['Extract Variable', 'Invert Condition', 'Extract And Move Method', 'Extract Method', 'Inline Variable', 'Parameterize Variable']"
WebAbstractTable,26,"['Extract Variable', 'Extract Method', 'Extract And Move Method', 'Parameterize Variable', 'Inline Variable', 'Invert Condition']"
WebDateField,20,"['Extract Variable', 'Extract Method', 'Inline Variable', 'Extract And Move Method', 'Merge Variable']"
WebWindowManager,15,"['Extract Variable', 'Extract Method', 'Extract And Move Method']"
WebRowsCount,15,"['Extract Variable', 'Extract Method', 'Extract And Move Method', 'Parameterize Variable', 'Inline Variable']"
AbstractComponentLoader,15,"['Extract Method', 'Extract Variable', 'Parameterize Variable']"
RdbmsStore,14,"['Extract Method', 'Parameterize Variable', 'Invert Condition', 'Extract Variable', 'Inline Variable']"
QueryParserAstBased,14,"['Extract Method', 'Extract And Move Method', 'Parameterize Variable', 'Inline Variable']"
SelectAction,14,"['Extract Method', 'Extract Variable', 'Invert Condition', 'Extract And Move Method']"
WebAbstractField,12,"['Extract Variable', 'Extract Method', 'Extract And Move Method', 'Invert Condition', 'Merge Variable']"
WebFileUploadField,12,"['Parameterize Variable', 'Extract Method', 'Extract Variable', 'Inline Variable']"
GroupBrowser,12,"['Extract Variable', 'Extract Method', 'Inline Variable']"
App,11,"['Extract Method', 'Inline Variable', 'Extract Variable']"
DesktopFieldGroup,11,"['Extract Method', 'Extract Variable', 'Invert Condition', 'Inline Variable', 'Parameterize Variable']"
UserEditor,10,"['Extract Method', 'Parameterize Variable', 'Merge Variable']"
CubaMaskedFieldWidget,10,"['Extract Method', 'Inline Variable', 'Extract Variable', 'Invert Condition']"
AttributeSecuritySupport,10,"['Extract Variable', 'Extract Method', 'Extract And Move Method']"
MenuBuilder,10,"['Extract Method', 'Parameterize Variable', 'Inline Variable', 'Extract Variable', 'Extract And Move Method', 'Invert Condition']"
CubaFoldersPane,10,"['Extract Variable', 'Extract Method', 'Parameterize Variable']"
FieldGroupLoader,9,"['Extract Variable', 'Invert Condition']"
WebFilterHelper,9,"['Extract Method', 'Extract Variable', 'Inline Variable']"
ExcelExporter,9,"['Extract Variable', 'Extract And Move Method']"
EntityManagerImpl,8,"['Extract And Move Method', 'Extract Method', 'Inline Variable']"
EntityLogBrowser,8,"['Extract Method', 'Parameterize Variable', 'Invert Condition', 'Inline Variable', 'Extract Variable']"
DefaultApp,8,"['Inline Variable', 'Extract Method', 'Extract Variable', 'Extract And Move Method']"
WebDatePicker,8,"['Parameterize Variable', 'Inline Variable', 'Extract Variable', 'Extract And Move Method', 'Merge Variable']"
WindowConfig,8,"['Extract Method', 'Extract Variable', 'Parameterize Variable']"
WebComponentsHelper,8,"['Extract And Move Method', 'Inline Variable', 'Parameterize Variable', 'Extract Method', 'Extract Variable']"
MetadataTools,8,"['Extract Variable', 'Extract Method', 'Parameterize Variable', 'Extract And Move Method']"
EntitiesControllerManager,7,['Extract Variable']
WebGroupTable,7,"['Extract Method', 'Parameterize Variable', 'Extract Variable']"
AbstractTableLoader,7,"['Inline Variable', 'Extract Variable', 'Invert Condition', 'Extract Method', 'Parameterize Variable']"
SideMenuBuilder,7,"['Extract Method', 'Parameterize Variable', 'Inline Variable', 'Extract Variable']"
DataManagerBean,6,"['Extract Method', 'Parameterize Variable']"
DesktopDateField,6,"['Extract Method', 'Extract Variable', 'Inline Variable', 'Extract And Move Method']"
RoleBrowser,6,"['Extract Variable', 'Extract Method']"
SplitPanelLoader,6,"['Extract Method', 'Extract Variable']"
PersistenceImplSupport,6,"['Extract And Move Method', 'Inline Variable', 'Invert Condition', 'Extract Variable']"
EntityInspectorBrowse,6,['Extract Variable']
EntitySqlGenerator,6,"['Extract Method', 'Inline Variable']"
CreateAction,6,"['Extract Method', 'Extract And Move Method', 'Inline Variable', 'Extract Variable']"
WebPickerField,6,"['Inline Variable', 'Parameterize Variable', 'Extract Variable', 'Extract And Move Method']"
ExcludeAction,6,"['Extract Variable', 'Extract And Move Method', 'Extract Method', 'Invert Condition', 'Inline Variable']"
DynamicAttributesUtils,5,"['Inline Variable', 'Extract And Move Method']"
WebButton,5,"['Extract And Move Method', 'Extract Method']"
WindowLoader,5,"['Extract Variable', 'Extract Method', 'Parameterize Variable', 'Extract And Move Method']"
TableFocusManager,4,"['Extract Method', 'Parameterize Variable']"
WebAbstractOptionsField,4,"['Extract Variable', 'Merge Variable', 'Extract And Move Method']"
EntityInspectorEditor,4,"['Extract Variable', 'Inline Variable']"
FetchGroupManager,4,"['Extract Variable', 'Extract Method', 'Extract And Move Method']"
LayoutLoader,4,"['Extract Method', 'Extract And Move Method']"
QueryImpl,4,"['Extract Variable', 'Extract Method']"
FileStorage,4,['Extract Method']
EntityCopyUtils,4,"['Extract Method', 'Parameterize Variable', 'Extract Variable']"
DynamicAttributesManager,4,"['Invert Condition', 'Inline Variable']"
CubaApplicationServlet,4,"['Extract Variable', 'Extract Method', 'Invert Condition']"
DbUpdaterEngine,4,"['Extract Variable', 'Extract Method', 'Parameterize Variable']"
WebEntityLinkField,4,"['Extract Method', 'Extract Variable']"
Param,3,"['Extract Variable', 'Inline Variable', 'Extract Method']"
PersistenceSecurityImpl,3,"['Inline Variable', 'Extract Method', 'Extract Variable']"
AttributeEditor,3,"['Extract And Move Method', 'Extract Method', 'Extract Variable']"
AppProperties,3,"['Invert Condition', 'Extract Method']"
MappingFileCreator,3,"['Extract Method', 'Invert Condition']"
DeletePolicyProcessor,3,"['Extract And Move Method', 'Extract Method']"
EntityRestore,3,"['Inline Variable', 'Extract Variable']"
ExceptionDialog,3,"['Extract Variable', 'Inline Variable']"
DesktopAbstractOptionsField,3,"['Extract And Move Method', 'Extract Variable', 'Merge Variable']"
MetaModelLoader,3,['Extract Method']
DesktopFileUploadField,3,"['Extract Variable', 'Merge Variable', 'Extract And Move Method']"
IdpController,3,"['Extract Variable', 'Inline Variable']"
AppLoginWindow,3,"['Extract Method', 'Inline Variable']"
MetadataLoader,2,"['Extract Variable', 'Inline Variable']"
MigLayoutHelper,2,['Extract Method']
MessageTools,2,['Extract Method']
MenuConfig,2,['Extract Method']
DesktopTimeField,2,"['Extract Variable', 'Extract And Move Method']"
BulkEditorWindow,2,['Extract Method']
AppMainWindow,2,['Extract And Move Method']
RestParseUtils,2,['Extract Variable']
AbstractWebAppContextLoader,2,"['Extract Variable', 'Inline Variable']"
RuntimePropertiesFrameLoader,2,"['Extract Variable', 'Inline Variable']"
RuntimePropsDatasourceImpl,2,"['Extract Variable', 'Merge Variable']"
AbstractViewRepository,2,['Extract Method']
WebSourceCodeEditor,2,"['Extract Method', 'Extract Variable']"
ServicesControllerManager,2,"['Extract Variable', 'Inline Variable']"
MainTabSheetActionHandler,2,['Extract Variable']
DesktopPickerField,2,"['Extract Variable', 'Extract And Move Method']"
DesktopAbstractTable,2,"['Extract And Move Method', 'Extract Variable']"
DesktopAbstractBox,2,"['Inline Variable', 'Extract Variable']"
DefaultExceptionHandler,2,"['Parameterize Variable', 'Extract Variable']"
CubaVaadinServletService,2,['Extract Variable']
WebGroupBox,2,"['Inline Variable', 'Extract Variable']"
WebScrollBoxLayout,2,"['Inline Variable', 'Extract And Move Method']"
CubaGroupTable,2,"['Extract Variable', 'Inline Variable']"
EntityFetcher,2,"['Invert Condition', 'Extract Variable']"
GlobalPersistentAttributesLoadChecker,2,"['Extract Method', 'Extract Variable']"
ConditionDescriptorsTreeBuilder,2,"['Extract Method', 'Extract Variable']"
TreeToQuery,2,['Extract Method']
Tools,2,['Extract Variable']
DesktopSuggestionField,2,['Extract Method']
CollectionPropertyDatasourceImpl,2,['Extract Variable']
DesktopAbstractTextField,2,"['Extract Variable', 'Extract And Move Method']"
SimpleFileDataProvider,1,['Extract Method']
WebLabel,1,['Inline Variable']
TabSheetLoader,1,['Extract Method']
WebTree,1,['Extract Variable']
WebDataGrid,1,['Extract Variable']
TokenListLoader,1,['Extract Method']
AbstractCollectionDatasource,1,['Extract Variable']
SearchAutoCompleteSupport,1,['Extract Variable']
CubaGroupTableWidget,1,['Extract Variable']
DbUpdaterUtil,1,['Invert Condition']
DateFieldLoader,1,['Inline Variable']
CubaRemoteInvocationExecutor,1,['Extract Variable']
CubaPopupButtonConnector,1,['Extract Variable']
CubaLabelConnector,1,['Extract Variable']
CubaHorizontalSplitPanelWidget,1,['Extract Variable']
ControllerDependencyInjector,1,['Extract Method']
ScreenHistorySupport,1,['Extract Variable']
ChangePasswordDialog,1,['Extract Variable']
CategoryAttribute,1,['Extract And Move Method']
CalendarLoader,1,['Extract Method']
BeanProcessor,1,['Extract Variable']
AnnotationMBeanInfoAssembler,1,['Inline Variable']
AbstractFieldFactory,1,['Extract Method']
DesktopAppContextLoader,1,['Inline Variable']
DesktopGridLayout,1,['Extract Variable']
DesktopScrollBoxLayout,1,['Extract Method']
