ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,RMI
L1975,Backend,com.thinkaurelius.titan.diskstorage.Backend,L144,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\Backend.java,59,1,701,2,0.0650591,2,8,3,0.0482115,0.0643016,31,29,2,3,3,67,43,8,16,40,68,0.391304,0.17234,81,55,9,14,0.152015,83,1,1,0,0,1,389,560,44,21,44,21,28,16,22,0,28,192,16,22,0,463,643,44,21,44,21,36,16,30,0,36,213,16,30,0,0,8,126,2,14,0,0,6,0,18,0,3,0,0,0,3,0,17,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,1,7,0,2,0,1,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,-0.0010991142422126
L2372,BackendTransaction,com.thinkaurelius.titan.diskstorage.BackendTransaction,L144,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\BackendTransaction.java,42,1,432,2,0.0747996,1,4,2,0.0741688,0.0942029,29,26,2,3,3,44,27,12,13,23,50,0.259259,0.26087,66,64,7,20,0.192982,66,2,2,0,0,1,187,292,15,4,15,4,27,3,26,0,27,89,3,26,0,276,391,20,4,20,4,43,3,41,0,43,115,3,41,0,0,0,165,11,19,0,0,4,0,44,0,8,0,0,6,1,0,7,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,3,0,7,0,0,7,7,3,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,-0.0005108019690461
L12349,TitanEventualGraphTest,com.thinkaurelius.titan.graphdb.TitanEventualGraphTest,L12234,L103,titan-test\src\main\java\com\thinkaurelius\titan\graphdb\TitanEventualGraphTest.java,33,1,351,2,0.0,0,0,0,0.0,0.0,0,0,9,2,2,20,3,2,0,0,9,0.625,0.127273,35,15,5,3,0.127273,35,1,1,2,2,1,240,319,10,8,1,0,9,0,7,0,41,205,8,36,1,240,319,10,8,1,0,9,0,7,0,41,205,8,36,1,0,0,24,71,48,0,0,1,0,0,0,1,0,0,2,0,0,1,19,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,4,0,9,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0,5,0,0,0,0,0,0,-0.0002716103555991
L12280,TitanGraphTest,com.thinkaurelius.titan.graphdb.TitanGraphTest,L12234,L103,titan-test\src\main\java\com\thinkaurelius\titan\graphdb\TitanGraphTest.java,93,1,4839,2,0.467063,33,205,71,0.331157,0.365369,1572,1342,31,4,3,318,81,5,0,223,295,0.328125,0.115771,450,96,21,43,0.111729,462,1,1,5,8,1,3437,4492,10,8,1,0,72,0,63,2,104,2946,8,92,3,3673,4747,13,8,4,0,89,0,79,2,121,3117,8,108,3,0,75,420,375,1064,0,71,52,0,108,0,1,0,9,13,24,0,11,211,71,0,92,0,0,907,0,6,0,0,0,0,0,0,0,3,0,67,9,64,17,269,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,133,6,0,0,0,0,0,0,0,-0.0057713829644809
L812,DistributedStoreManager,com.thinkaurelius.titan.diskstorage.common.DistributedStoreManager,L2961,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\common\DistributedStoreManager.java,27,1,267,2,0.0,0,0,0,0.0,0.0,0,0,3,1,1,11,8,5,0,0,8,0.714286,0.649351,100,99,5,2,0.570048,118,2,2,2,5,1,54,184,13,9,9,4,8,0,6,0,17,24,0,15,0,89,241,17,15,13,10,16,3,14,0,25,35,3,23,0,0,0,27,5,3,0,0,1,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-9.241044420849054e-05
L4065,ConfigurationTest,com.thinkaurelius.titan.diskstorage.configuration.ConfigurationTest,L3124,L103,titan-test\src\test\java\com\thinkaurelius\titan\diskstorage\configuration\ConfigurationTest.java,19,1,154,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,7,0,0,0,0,2,0.333333,0.0526316,6,3,1,2,0.0491803,6,0,0,0,0,0,108,128,0,0,0,0,2,0,2,0,2,83,0,2,0,116,136,0,0,0,0,4,0,4,0,4,85,0,4,0,0,5,20,25,34,0,5,0,0,0,0,1,0,0,0,0,0,1,17,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.79894484798804e-05
L4856,IndexProviderTest,com.thinkaurelius.titan.diskstorage.indexing.IndexProviderTest,L4344,L103,titan-test\src\main\java\com\thinkaurelius\titan\diskstorage\indexing\IndexProviderTest.java,38,1,824,2,0.0232650999999999,1,2,2,0.0355781,0.0403361,28,24,30,4,4,66,13,3,0,0,37,0.1,0.1051589999999999,53,19,3,27,0.0860215,56,0,0,3,3,0,451,638,16,4,16,4,37,5,29,1,37,313,5,29,1,595,787,16,4,16,4,57,5,49,1,57,334,5,49,1,0,20,270,85,135,0,2,18,0,54,0,2,0,3,1,1,0,29,194,2,0,0,0,0,114,0,1,0,0,0,0,0,0,2,0,0,16,0,8,16,49,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,-0.0011304008600889
L7370,ReadMarker,com.thinkaurelius.titan.diskstorage.log.ReadMarker,L7281,L103,titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\log\ReadMarker.java,13,1,119,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,15,2,6,12,2,12,0.9,0.515464,50,50,9,1,0.515464,50,0,0,0,0,0,47,107,4,2,4,2,10,0,9,0,10,21,0,9,0,47,107,4,2,4,2,10,0,9,0,10,21,0,9,0,0,0,5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.797671781351596e-06
L12483,TitanBlueprintsGraph,com.thinkaurelius.titan.graphdb.blueprints.TitanBlueprintsGraph,L12444,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\blueprints\TitanBlueprintsGraph.java,27,1,320,2,0.167123,2,8,3,0.132653,0.1741069999999999,39,39,3,2,2,53,21,5,9,39,83,0.0909091,0.0867768999999999,21,20,4,40,0.0857143,21,4,4,1,1,1,221,289,3,18,3,17,44,0,43,0,49,72,0,48,0,224,294,3,18,3,17,45,0,43,0,50,73,0,48,0,0,0,129,0,6,0,0,2,0,22,0,1,0,0,2,2,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,-0.0005738436215562
L12546,GraphDatabaseConfiguration,com.thinkaurelius.titan.graphdb.configuration.GraphDatabaseConfiguration,L12860,L103,titan-core\src\main\java\com\thinkaurelius\titan\graphdb\configuration\GraphDatabaseConfiguration.java,72,1,1820,2,0.0,0,0,0,0.0,0.0,0,0,2,5,5,114,46,24,18,61,110,0.0833333,0.3991679999999999,576,539,3,33,0.389189,576,0,0,0,0,0,867,1712,156,28,156,28,49,136,35,0,49,255,136,35,0,904,1749,156,28,156,28,57,136,43,0,57,267,136,43,0,0,5,166,11,41,0,1,15,0,0,0,1,0,3,1,4,0,25,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,22,1,4,0,3,0,0,0,10,0,1,2,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,-0.0019754216782232
